schedule,bandwidth_gbps,microbatches,strategy,makespan_ms,bubble
gpipe,300.0,4,Uniform,87.07312634740836,0.4807950690654429
gpipe,50.0,4,Uniform,87.28284154740835,0.4808412129106765
gpipe,300.0,8,Uniform,165.3174545523184,0.4530668685422471
gpipe,50.0,8,Uniform,165.70193241898505,0.4530702993024315
gpipe,300.0,16,Uniform,321.80611096213835,0.4380616773709298
gpipe,50.0,16,Uniform,322.54011416213837,0.43804008045109943
1f1b,300.0,4,Uniform,89.05913165612517,0.4923732613290889
1f1b,50.0,4,Uniform,89.26010872279183,0.49234148602496985
1f1b,300.0,8,Uniform,167.3034598610352,0.45955933500701984
1f1b,50.0,8,Uniform,167.67919959436853,0.45951967493785695
1f1b,300.0,16,Uniform,323.7921162708552,0.44150837182651437
1f1b,50.0,16,Uniform,324.5173813375219,0.4414640724056307
gpipe,300.0,4,Greedy,69.86739201225758,0.3525840592867743
gpipe,50.0,4,Greedy,70.05089281225759,0.3510367539026227
gpipe,300.0,8,Greedy,129.18505519500223,0.2997136819500249
gpipe,50.0,8,Greedy,129.43846106166896,0.29757423846683095
gpipe,300.0,16,Greedy,247.82038156049163,0.26990245047695127
gpipe,50.0,16,Greedy,248.21359756049145,0.2673978341515624
1f1b,300.0,4,Greedy,89.72151071185395,0.4958481754719355
1f1b,50.0,4,Greedy,90.00113097852062,0.49489018307657073
1f1b,300.0,8,Greedy,149.0391738945986,0.39300169018939024
1f1b,50.0,8,Greedy,149.38869922793197,0.3913802713804987
1f1b,300.0,16,Greedy,267.674500260088,0.32405569778452226
1f1b,50.0,16,Greedy,268.1638357267545,0.32190029027204037
gpipe,300.0,4,DP,67.8105214397399,0.3327400619041406
gpipe,50.0,4,DP,68.39597637307324,0.3341078922093954
gpipe,300.0,8,DP,125.45227470658979,0.27865406276683424
gpipe,50.0,8,DP,126.52706510658979,0.28008539780647945
gpipe,300.0,16,DP,240.73578124028938,0.2481841443758549
gpipe,50.0,16,DP,242.78924257362283,0.24964812462559793
1f1b,300.0,4,DP,79.69988217962126,0.43227965837949245
1f1b,50.0,4,DP,80.3115515129546,0.4329042334076234
1f1b,300.0,8,DP,137.34163544647114,0.34109938051867905
1f1b,50.0,8,DP,138.44264024647114,0.34204749648838007
1f1b,300.0,16,DP,252.62514198017072,0.2835670435101765
1f1b,50.0,16,DP,254.70481771350418,0.28475101051773444
