schedule,bandwidth_gbps,microbatches,strategy,makespan_ms,bubble
gpipe,300.0,4,Uniform,87.69698103513682,0.4857068910738779
gpipe,50.0,4,Uniform,87.9066962351368,0.48574098952513844
gpipe,300.0,8,Uniform,166.63011676301218,0.4586578477389962
gpipe,50.0,8,Uniform,167.01459462967887,0.4586483807569912
gpipe,300.0,16,Uniform,324.4963882187629,0.44403753437662685
gpipe,50.0,16,Uniform,325.23039141876285,0.44400262936328216
1f1b,300.0,4,Uniform,89.22444080903304,0.4945112279658066
1f1b,50.0,4,Uniform,89.42541787569968,0.4944747064773838
1f1b,300.0,8,Uniform,168.15757653690844,0.4635751305550435
1f1b,50.0,8,Uniform,168.53331627024178,0.46352671839071946
1f1b,300.0,16,Uniform,326.02384799265917,0.44664228340730194
1f1b,50.0,16,Uniform,326.7491130593258,0.4465868911260026
gpipe,300.0,4,Greedy,70.74454176132463,0.362121533763341
gpipe,50.0,4,Greedy,70.92804256132463,0.3605686887413705
gpipe,300.0,8,Greedy,131.0400167754682,0.31125741733303747
gpipe,50.0,8,Greedy,131.29342264213483,0.30912592044133735
gpipe,300.0,16,Greedy,251.63096680375529,0.28265713291921324
gpipe,50.0,16,Greedy,252.0241828037551,0.2801704859360832
1f1b,300.0,4,Greedy,90.34802605393666,0.5005267766847601
1f1b,50.0,4,Greedy,90.62764632060336,0.4995609717198959
1f1b,300.0,8,Greedy,150.64350106808027,0.4008846120360007
1f1b,50.0,8,Greedy,150.99302640141357,0.3992621733480123
1f1b,300.0,16,Greedy,271.23445109636737,0.33450312656195746
1f1b,50.0,16,Greedy,271.72378656303385,0.33235714349984347
gpipe,300.0,4,DP,69.15088558375625,0.34721876045986644
gpipe,50.0,4,DP,69.73634051708957,0.3484387479601
gpipe,300.0,8,DP,128.18236447332714,0.2956846912266873
gpipe,50.0,8,DP,129.25715487332715,0.2969441825557009
gpipe,300.0,16,DP,246.24532225246875,0.26674098181843053
gpipe,50.0,16,DP,248.29878358580228,0.26801901026157393
1f1b,300.0,4,DP,80.44410071294877,0.43886002321365647
1f1b,50.0,4,DP,81.0557700462821,0.43942920640873195
1f1b,300.0,8,DP,139.4755796025197,0.35271248292633905
1f1b,50.0,8,DP,140.5765844025197,0.35355525199143656
1f1b,300.0,16,DP,257.5385373816613,0.2988948175974738
1f1b,50.0,16,DP,259.61821311499483,0.29993359410620857
